target,source,weight
稻森泉,佐佐木藏之介,3
神保悟志 ,山中崇史,3
神保悟志 ,山西惇,3
铃木杏树,石坂浩二,3
神保悟志 ,川原和久,3
内田有纪,浅野和之,3
山田孝之,宅麻伸,3
山田孝之,室毅,3
山田孝之,崎本大海,3
凉,新垣结衣,3
岛田敏,盐屋浩三,3
稻森泉,小池彻平,3
本木雅弘,阿部宽,3
森久保祥太郎,落合弘治,3
森久保祥太郎,荻原秀树,3
森久保祥太郎,茅原实里,3
森久保祥太郎,羽多野涉,3
森久保祥太郎,笹本优子,3
朴璐美,咲野俊介,3
西田敏行,胜村政信,3
本木雅弘,菅野美穗,3
本木雅弘,香川照之,3
冈田将生,柳乐优弥,3
森久保祥太郎,桐井大介,3
森久保祥太郎,朴璐美,3
森久保祥太郎,川田绅司,3
山西惇,神保悟志 ,3
山西惇,石坂浩二,3
森久保祥太郎,宫田幸季,3
松重丰,小日向文世,3
山西惇,山中崇史,3
冈田将生,松坂桃李,3
浪川大辅,森川智之,3
茅原实里,荻原秀树,3
内野圣阳,小日向文世,3
米仓凉子,铃木浩介,3
仲野太贺,柳乐优弥,3
仲野太贺,松坂桃李,3
茅原实里,野田顺子,3
朴璐美,野田顺子,3
稻森泉,岸部一德,3
草刈正雄,小林隆,3
朴璐美,落合弘治,3
朴璐美,羽多野涉,3
永山绚斗,泷藤贤一,3
小林隆,草刈正雄,3
松重丰,绫田俊树,3
稻森泉,池田铁洋,3
小池彻平,稻森泉,3
松重丰,田口智朗,3
堂本刚,堂本光一,3
朴璐美,森田成一,3
稻森泉,阿部隆史,3
水谷丰,神保悟志 ,3
山下智久,杉本哲太,3
浅利阳介,新垣结衣,3
水谷丰,山中崇史,3
高畑淳子,中原丈雄,3
香川照之,菅野美穗,3
浅利阳介,户田惠梨香,3
香川照之,阿部宽,3
荻原秀树,笹本优子,3
石坂浩二,川原和久,3
荻原秀树,宫田幸季,3
木村多江,西岛秀俊,3
桐井大介,宫田幸季,3
石坂浩二,山西惇,3
天海祐希,佐佐木藏之介,3
浅野和之,内田有纪,3
上野树里,水川麻美,3
浅利阳介,比嘉爱未,3
石坂浩二,山中崇史,3
石坂浩二,反町隆史,3
荻原秀树,茅原实里,3
江口洋介,福山雅治,3
水谷丰,及川光博,3
荻原秀树,森田成一,3
桐井大介,森田成一,3
浅利阳介,寺岛进,3
山本耕史,铃木京香,3
荻原秀树,桐井大介,3
荻原秀树,野田顺子,3
岩松了,布施绘里,3
小林薰,绫田俊树,3
草刈正雄,远藤宪一,2
德井优,小泽真珠,2
水川麻美,夏木真理,2
水川麻美,佐佐木藏之介,2
铃村健一,落合弘治,2
咲野俊介,本多阳子,2
胜村政信,寺岛进,2
草刈正雄,高畑淳子,2
胜村政信,新垣结衣,2
咲野俊介,川田绅司,2
草刈正雄,西田敏行,2
咲野俊介,桐井大介,2
咲野俊介,岩村琴美,2
胜村政信,户田惠梨香,2
咲野俊介,宫田幸季,2
咲野俊介,笹本优子,2
咲野俊介,森川智之,2
水川麻美,北村一辉,2
铃村健一,长谷川步,2
小林隆,远藤宪一,2
铃村健一,远近孝一,2
铃村健一,野田顺子,2
咲野俊介,浪川大辅,2
新井浩文,三浦诚己,2
铃村健一,远藤久美子,2
草刈正雄,西村雅彦,2
咲野俊介,植田佳奈,2
胜村政信,伊东四朗,2
吉田钢太郎,仲野太贺,2
田中幸太朗,绫濑遥,2
铃村健一,谷山纪章,2
咲野俊介,森训久,2
咲野俊介,茅原实里,2
京田尚子,富泽美智惠,2
咲野俊介,草尾毅,2
胜村政信,凉,2
井之原快彦,吹越满,2
胜村政信,杉本哲太,2
小林隆,松隆子,2
臼田麻美,二阶堂富美,2
小林隆,内野圣阳,2
小林隆,伊藤俊人,2
吹越满,津田宽治,2
小林隆,中原丈雄,2
草刈正雄,中原丈雄,2
茅原实里,长谷川步,2
吹越满,松冈茉优,2
吹越满,杉本哲太,2
茅原实里,铃村健一,2
小日向文世,东出昌大,2
京田尚子,岛田敏,2
武内健,宫田幸季,2
茅原实里,野岛裕史,2
水桥研二,室毅,2
吉田钢太郎,高桥洋,2
茅原实里,远近孝一,2
茂吕师冈,光石研,2
茅原实里,远藤久美子,2
折笠富美子,藤田淑子,2
小林隆,大泉洋,2
吹越满,田口浩正,2
咲野俊介,下山吉光,2
咲野俊介,堀内贤雄,2
胜村政信,比嘉爱未,2
德井优,福田沙纪,2
草刈正雄,段田安则,2
咲野俊介,保村真,2
咲野俊介,保志总一朗,2
胜村政信,浅利阳介,2
咲野俊介,荻原秀树,2
水野美纪,风吹淳,2
吹越满,羽田美智子,2
胜村政信,远藤宪一,2
阵内孝则,段田安则,2
小林隆,小日向文世,2
胜村政信,铃木浩介,2
吉田钢太郎,中田喜子,2
阵内孝则,岸部一德,2
吹越满,阿部宽,2
小林薰,安藤玉惠,2
铃村健一,荻原秀树,2
铃村健一,笹本优子,2
铃村健一,草尾毅,2
铃村健一,茅原实里,2
久保田磨希,佐津川爱美,2
久保田磨希,内田有纪,2
久保田磨希,坂口宪二,2
草尾毅,保志总一朗,2
吉濑美智子,户田惠梨香,2
久保田磨希,坂本真,2
水川麻美,池田铁洋,2
新垣结衣,古馆宽治,2
铃村健一,保志总一朗,2
铃村健一,保村真,2
久保田磨希,森口博子,2
永冈佑,泷藤贤一,2
久保田磨希,浅野和之,2
久保田磨希,渡边真起子,2
吉田钢太郎,泷藤贤一,2
吉濑美智子,松田翔太,2
铃村健一,咲野俊介,2
草尾毅,下山吉光,2
吉濑美智子,沟端淳平,2
铃村健一,堀内贤雄,2
水川麻美,岸部一德,2
樱井淳子,石黑贤,2
久保田磨希,中井贵一,2
草尾毅,保村真,2
水川麻美,阿部隆史,2
吉田钢太郎,柳乐优弥,2
小栗旬,泷藤贤一,2
小林薰,不破万作,2
草尾毅,堀内贤雄,2
小栗旬,松岛菜菜子,2
京田尚子,八奈见乘儿,2
水川麻美,玉木宏,2
